metric,mean,std,n_folds
train_accuracy,0.9982307692307693,0.0025020701488139034,2
train_balanced_accuracy,0.9982307692307694,0.0025020701488137464,2
train_macro_f1,0.998231722620792,0.002500721851713639,2
train_weighted_f1,0.998231722620792,0.0025007218517134823,2
validation_accuracy,0.38569230769230767,0.03154784100678443,2
validation_balanced_accuracy,0.38569230769230767,0.03154784100678447,2
validation_macro_f1,0.3873322708102964,0.028436264642277498,2
validation_weighted_f1,0.3873322708102964,0.02843626464227746,2
