dataset,method,fold,seed,n_train,n_validation,n_features,feature_extraction_time,classifier_training_time,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,extractor_train_time,extractor_train_fitness,program
FEI,gp_modified,1,43,112,28,778,17.447046399815008,0.04942840011790395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.966148853302002,99.13,"FC4(SIFT(Image), RIF_R(LoG2_R(SobelX_R(SobelY_R(LoG1_R(Min_R(RegionR(Sobel(Image), 46, 49, 49, 54))))))), Hist(Mean(Image)), HOG(Image))"
FEI,gp_modified,2,44,112,28,261,17.08727729995735,0.07191410008817911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.099440097808838,100.0,"FC4(Hist_R(Max_R(Min_R(SobelY_R(Min_R(SobelY_R(Med_R(GauD_R(Gau_R(Med_R(LoG2_R(SobelY_R(Max_R(Sobel_R(Min_R(Min_R(Max_R(LoG2_R(Med_R(Mean_R(Mean_R(Mean_R(Lap_R(LoG2_R(LoG2_R(Med_R(SobelX_R(Gau_R(Lap_R(Min_R(Gau_R(RegionS(Image, 20, 41, 1), 1))), 1))))))))))))))))))), 1), 1, 0, 2)))))))), RIF(Mean(Image)), uLBP(Mean(Image)), SIFT(Gau(Image, 1)))"
FEI,gp_modified,3,45,112,28,646,11.626413699937984,0.032907700166106224,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.211525678634644,97.31,"FC3(Hist_R(SobelY_R(Mean_R(RegionR(Min(Image), 61, 60, 22, 60)))), HOG(GauD(Min(Lap(Mean(Image))), 3, 0, 0)), DIF_R(Sobel_R(Mean_R(RegionR(Min(Image), 61, 5, 22, 60)))))"
FEI,gp_modified,4,46,112,28,640,9.622396999970078,0.03635089984163642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.238112688064575,99.13,"FC3(HOG(Image), HOG_R(GauD_R(Gau_R(Lap_R(Med_R(Med_R(SobelY_R(SobelY_R(Lap_R(RegionR(LoG2(Image), 32, 59, 56, 19))))))), 3), 2, 1, 0)), RIF(Image))"
FEI,gp_modified,5,47,112,28,138,9.786787600023672,0.040730200009420514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.411266088485718,99.13,"FC2(SIFT(Image), RIF(Image))"
