dataset,method,fold,seed,n_train,n_validation,n_features,feature_extraction_time,classifier_training_time,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,train_precision,train_recall,validation_precision,validation_recall,extractor_train_time,extractor_train_fitness,program
KSDD2,gp_modified,1,42,2669,668,220,314.46736439992674,2.6984738998580724,0.9542899962532784,0.7952328388084304,0.8548861792965756,0.949340055164443,0.938622754491018,0.773314931464836,0.8137060844131552,0.9338270505209355,0.9657142857142857,0.5929824561403508,0.8,0.5633802816901409,305.9137809276581,94.57,"FC4(Hist(Image), DIF(SobelY(Max(Gau(Min(Image), 1)))), SIFT(Max(Max(LoG1(GauD(Image, 1, 2, 1))))), RIF_R(Gau_R(RegionS(Mean(Gau(Image, 3)), 60, 7, 11), 1)))"
KSDD2,gp_modified,2,43,2669,668,151,149.99019760009833,2.4394121000077575,0.9482952416635444,0.7694496117164201,0.8311868191501454,0.9418682387185895,0.9341317365269461,0.7127609992542878,0.7745666513268906,0.9233426382393979,0.9506172839506173,0.5422535211267606,0.9117647058823529,0.4305555555555556,142.3171968460083,94.08,"FC4(Hist(Lap(GauD(Image, 1, 2, 0))), RIF(SobelY(Med(Image))), DIF_R(Max_R(GauD_R(Max_R(RegionR(Image, 14, 14, 29, 6)), 1, 2, 1))), uLBP(SobelX(SobelY(Lap(Image)))))"
KSDD2,gp_modified,3,44,2670,667,246,146.79528070008382,3.3466953998431563,0.951310861423221,0.7858325057927839,0.8447643871346305,0.9459161032313935,0.9415292353823088,0.7563687494092068,0.8114631123480681,0.9347207199166175,0.9479768786127167,0.5754385964912281,0.8809523809523809,0.5211267605633803,142.4106068611145,94.16,"FC4(Hist_R(Gau_R(RegionR(Image, 11, 42, 42, 28), 2)), uLBP(Image), uLBP_R(Gau_R(LoG2_R(SobelY_R(Lap_R(Mean_R(Med_R(Max_R(RegionR(Image, 11, 42, 42, 28))))))), 1)), Hist(Image))"
KSDD2,gp_modified,4,45,2670,667,210,81.41937820008025,5.563595799962059,0.947565543071161,0.762109676707492,0.8266233766233766,0.9405151028746535,0.9535232383808095,0.8003001228849608,0.8547851308738736,0.9490351425850397,0.967741935483871,0.5263157894736842,0.9347826086956522,0.6056338028169014,80.24155759811401,94.23,"FC4(Hist(Image), Hist(Image), Hist(Image), DIF(Image))"
KSDD2,gp_modified,5,46,2670,667,128,56.8561927000992,3.8535694000311196,0.9483146067415731,0.7656184486373165,0.8298040201097872,0.9415060990715242,0.9415292353823088,0.7811820587957274,0.8227671301942455,0.936961462105845,0.9681528662420382,0.5333333333333333,0.82,0.5774647887323944,56.48764705657959,94.08,"FC2(Hist(Image), Hist(Image))"
