dataset,method,fold,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1
STL10,cnn,1,44,10400,2600,50,64,0.001,520.3388668000698,cpu,1.9626682574932393,0.12403363703535153,-1.8386346204578876,0.9748076923076923,0.9748076923076923,0.974896196614876,0.974896196614876,0.655,0.655,0.6511876613105501,0.6511876613105501
STL10,cnn,2,45,10400,2600,50,64,0.001,523.7733473000117,cpu,1.897871194619399,0.08876516463091741,-1.8091060299884816,0.9802884615384615,0.9802884615384615,0.9802799406989529,0.980279940698953,0.6234615384615385,0.6234615384615385,0.6245439870148457,0.6245439870148457
STL10,cnn,3,46,10400,2600,50,64,0.001,522.1760939999949,cpu,1.8733144730788012,0.16539448688809688,-1.7079199861907042,0.9498076923076924,0.9498076923076925,0.9493477224121877,0.9493477224121877,0.6207692307692307,0.6207692307692307,0.613089542591658,0.613089542591658
STL10,cnn,4,47,10400,2600,50,64,0.001,568.5175471999682,cpu,1.8889771113028893,0.08734923112850923,-1.80162788017438,0.9685576923076923,0.9685576923076923,0.9686503317959281,0.9686503317959279,0.6076923076923076,0.6076923076923076,0.6042103414064106,0.6042103414064107
STL10,cnn,5,48,10400,2600,50,64,0.001,576.5500350000802,cpu,1.9395594061337984,0.12998995086321463,-1.8095694552705837,0.9695192307692307,0.9695192307692307,0.9696093634677923,0.9696093634677923,0.6092307692307692,0.6092307692307692,0.6108719293600262,0.6108719293600263
