metric,mean,std,n_folds
train_accuracy,0.9685961538461537,0.011501664080784926,5
train_balanced_accuracy,0.9685961538461537,0.01150166408078488,5
train_macro_f1,0.9685567109979474,0.011701765647475104,5
train_weighted_f1,0.9685567109979474,0.011701765647475132,5
validation_accuracy,0.6232307692307693,0.019058070709586487,5
validation_balanced_accuracy,0.6232307692307693,0.019058070709586487,5
validation_macro_f1,0.6207806923366982,0.018511213136182772,5
validation_weighted_f1,0.6207806923366982,0.01851121313618273,5
