dataset,method,fold,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,train_precision,train_recall,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,validation_precision,validation_recall
KSDD2,cnn,1,42,2669,668,50,64,0.001,354.8373896998819,cpu,0.3789059235032197,0.15912656211906626,-0.21977936138415347,0.956912701386287,0.8121475038266808,0.8666164018347389,0.9529242036374254,0.9521276595744681,0.6280701754385964,0.9416167664670658,0.7687852407577795,0.8173366147115122,0.9359779211061062,0.8478260869565217,0.5492957746478874
KSDD2,cnn,2,43,2669,668,50,64,0.001,473.505680100061,cpu,0.408166223393705,0.1430179506383973,-0.2651482727553077,0.9587860621955788,0.8140926270410724,0.8711849979817126,0.9548060047574205,0.9728260869565217,0.6302816901408451,0.9401197604790419,0.7527498135719612,0.808194791397479,0.9329758090847334,0.8809523809523809,0.5138888888888888
KSDD2,cnn,3,44,2670,667,50,64,0.001,431.6647025998682,cpu,0.3844862939266676,0.12443413182758213,-0.2600521620990855,0.9621722846441948,0.824351759902902,0.8824095767712802,0.9585813305380472,0.9946236559139785,0.6491228070175439,0.9385307346326837,0.7546908970602136,0.8049220672682527,0.9319955280768147,0.8409090909090909,0.5211267605633803
KSDD2,cnn,4,45,2670,667,50,64,0.001,281.40714040002786,cpu,0.3845864115136393,0.16416399415289418,-0.22042241736074514,0.9573033707865168,0.8185369083085071,0.8695216049382716,0.953695900957137,0.9384615384615385,0.6421052631578947,0.967016491754123,0.8574770772284714,0.9021994134897361,0.9648678593254691,0.9622641509433962,0.7183098591549296
KSDD2,cnn,5,46,2670,667,50,64,0.001,321.5072866999544,cpu,0.39253147512339476,0.13674045416634628,-0.2557910209570485,0.9591760299625468,0.8226746110559418,0.8750096095247462,0.95568030004021,0.9536082474226805,0.6491228070175439,0.9580209895052474,0.8338335381416013,0.8755265262596641,0.9552863664142336,0.9056603773584906,0.676056338028169
