metric,mean,std,n_folds
train_accuracy,0.9343722557369043,0.006882030429960856,5
train_balanced_accuracy,0.7081838500766974,0.03655448168157804,5
train_macro_f1,0.7693226792212883,0.03830669230433639,5
train_weighted_f1,0.9228057325400467,0.01093207492398259,5
validation_accuracy,0.9343709881586154,0.009092870089626174,5
validation_balanced_accuracy,0.7122223826698797,0.042314897098438525,5
validation_macro_f1,0.7717098924332946,0.042672027314253305,5
validation_weighted_f1,0.9232854028898503,0.012718670361466284,5
train_precision,0.9246434310878605,0.032521112342405824,5
train_recall,0.4206449221645664,0.07443787570732406,5
validation_precision,0.911318900336395,0.07137850506028307,5
validation_recall,0.42981220657277,0.08562606782873773,5
