dataset,method,experiment_seed,fold,internal_seed,validation_macro_f1,program,program_length_chars,function_call_count,max_parenthesis_depth,unique_operator_count,top_feature_combiner,image_terminal_count,family_gradient_edge,family_texture_local_descriptor,family_intensity_statistics,family_smoothing_filtering,family_spatial_region,op__FC4,op__Hist,op__HOG_R,op__GauD_R,op__RegionR,op__HOG,op__SIFT_R,op__Med_R,op__Sobel_R,op__Min_R,op__RegionS,op__uLBP_R,op__SobelX_R,op__SobelY_R,op__LoG1_R,op__Mean,op__SIFT,op__Gau_R,op__LoG2_R,op__Max_R,op__Mean_R,op__Lap_R,op__DIF_R,op__GauD,op__LoG1,op__Gau,op__FC2,op__DIF,op__Min,op__SobelX,op__Med,op__Sobel,op__Max,op__uLBP,op__FC3,op__Lap,op__RIF_R,op__Hist_R,op__RIF,op__SobelY,op__LoG2
STL10,gp_modified,43,5,47,0.5975294406672805,"FC3(uLBP(Image), SIFT(Image), uLBP(Image))",42,4,2,3,FC3,3,0,1,0,0,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,
STL10,gp_original,42,1,42,0.5797768979607185,"FC2(DIF(Image), SIFT(Image))",28,3,2,3,FC2,2,1,1,0,0,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
STL10,gp_original,42,2,43,0.4701079609286197,"FC4(SIFT_R(Med_R(Sobel_R(Med_R(Min_R(Med_R(RegionS(Image, 17, 33, 54))))))), SIFT(Image), SIFT_R(Min_R(LoG2_R(RegionS(LoG1(Image), 38, 36, 24)))), SIFT_R(Med_R(Sobel_R(Med_R(Min_R(Med_R(RegionS(Image, 17, 33, 54))))))))",219,21,8,9,FC4,4,1,1,1,0,1,1.0,,,,,,3.0,6.0,2.0,3.0,3.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
STL10,gp_original,42,3,44,0.5936640119124669,"FC2(uLBP(Image), SIFT(Image))",29,3,2,3,FC2,2,0,1,0,0,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
STL10,gp_original,42,4,45,0.5558150184797699,"FC3(DIF(Image), DIF_R(Max_R(Lap_R(Lap_R(RegionS(Image, 37, 35, 49))))), SIFT(Image))",84,8,6,7,FC3,3,1,1,1,0,1,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,2.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,
STL10,gp_original,42,5,46,0.5886261903404375,"FC3(SIFT(Image), DIF_R(RegionR(Mean(Image), 23, 46, 23, 6)), uLBP(Image))",73,6,4,6,FC3,3,1,1,1,0,1,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,
STL10,gp_original,43,1,43,0.4730158150644141,"FC4(SIFT(Image), SIFT(Image), SIFT_R(Min_R(LoG2_R(RegionS(LoG1(Image), 38, 36, 24)))), SIFT_R(Med_R(Sobel_R(Med_R(Min_R(Med_R(RegionS(Image, 17, 33, 54))))))))",159,15,8,9,FC4,4,1,1,1,0,1,1.0,,,,,,2.0,3.0,1.0,2.0,2.0,,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
STL10,gp_original,43,2,44,0.5869130121857625,"FC2(uLBP(Image), SIFT(Image))",29,3,2,3,FC2,2,0,1,0,0,0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
STL10,gp_original,43,3,45,0.5777957277519115,"FC3(DIF(Image), DIF_R(Max_R(Lap_R(Lap_R(RegionS(Image, 35, 35, 35))))), SIFT(Image))",84,8,6,7,FC3,3,1,1,1,0,1,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,2.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,
STL10,gp_original,43,4,46,0.5298928962550317,"FC3(SIFT(Image), Hist(Image), SIFT(Med(GauD(Image, 3, 0, 0))))",62,6,4,5,FC3,3,1,1,1,0,0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,
STL10,gp_original,43,5,47,0.5777454607009911,"FC4(Hist(Image), SIFT(Image), uLBP(Image), SIFT_R(Min_R(SobelY_R(LoG1_R(GauD_R(SobelX_R(SobelX_R(Mean_R(Mean_R(RegionS(GauD(Image, 3, 2, 1), 44, 59, 12))))), 3, 2, 2))))))",171,15,12,13,FC4,4,1,1,1,0,1,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,
