dataset,method,fold,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,train_precision,train_recall,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,validation_precision,validation_recall
MVTEC,cnn,1,42,1380,345,50,64,0.001,121.91301160003059,cpu,0.6134859658669735,0.4696195046106974,-0.14386646125627606,0.7971014492753623,0.6567440278117392,0.6785774891112302,0.7679654877075686,0.7995049504950495,0.963220675944334,0.7275362318840579,0.5488991295442909,0.5379288726775333,0.6743432170840375,0.7515923566878981,0.9365079365079365
MVTEC,cnn,2,43,1380,345,50,64,0.001,99.62904690019786,cpu,0.5930238896521969,0.48787454193916874,-0.10514934771302814,0.7942028985507247,0.6522363147319292,0.6730730730730731,0.7642088465276872,0.7973640856672158,0.9622266401590457,0.7681159420289855,0.6241679467485919,0.6376811594202898,0.7378701953371141,0.7866666666666666,0.9365079365079365
MVTEC,cnn,3,44,1380,345,50,64,0.001,108.85230979998596,cpu,0.6128603601801222,0.4902902592783389,-0.12257010090178333,0.7855072463768116,0.6319941314678772,0.6482732254364725,0.7488902802326376,0.7872168284789643,0.967196819085487,0.7797101449275362,0.6219278033794162,0.6355093416370107,0.7411679947392852,0.7838709677419354,0.9642857142857143
MVTEC,cnn,4,45,1380,345,50,64,0.001,101.61075760005042,cpu,0.631802064785059,0.49262311735014985,-0.1391789474349091,0.7739130434782608,0.607932142562385,0.616579277328166,0.7294182001100213,0.7764518695306285,0.9692154915590864,0.7478260869565218,0.5871407985080953,0.5901213999918065,0.7058206329519013,0.7662337662337663,0.9402390438247012
MVTEC,cnn,5,46,1380,345,50,64,0.001,141.36603100015782,cpu,0.5933184334333392,0.4134171862533127,-0.17990124718002654,0.8101449275362319,0.7154662669623626,0.7340993531192361,0.7994284780248937,0.8352835283528353,0.9215491559086395,0.7246376811594203,0.6211112994829194,0.6277640859067111,0.7141797362173665,0.7888888888888889,0.848605577689243
