metric,mean,std,n_folds
train_accuracy,0.9964285714285716,0.00489037997772468,5
train_balanced_accuracy,0.9963636363636365,0.0049792959773196635,5
train_macro_f1,0.9963561076604555,0.004989605078722047,5
train_weighted_f1,0.9964211771665188,0.004900504988030534,5
validation_accuracy,0.9714285714285715,0.029880715233359827,5
validation_balanced_accuracy,0.9733333333333333,0.0278886675511359,5
validation_macro_f1,0.9714285714285715,0.02913725436338733,5
validation_weighted_f1,0.9708163265306122,0.030676802675756978,5
