dataset,method,fold,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1
FEI,mlp,1,43,112,28,50,64,0.001,0.7343381000682712,cpu,2.4444994245256697,0.10678550973534584,-2.337713914790324,0.9910714285714286,0.990909090909091,0.9908902691511386,0.991052942916297,0.9642857142857143,0.9666666666666666,0.9657142857142856,0.9632653061224489
FEI,mlp,2,44,112,28,50,64,0.001,0.7831254999618977,cpu,2.3795083250318254,0.07641596027782985,-2.3030923647539954,1.0,1.0,1.0,1.0,0.9642857142857143,0.9666666666666666,0.96,0.9642857142857143
FEI,mlp,3,45,112,28,50,64,0.001,0.7776835998520255,cpu,2.336827652794974,0.08840384653636388,-2.2484238062586104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FEI,mlp,4,46,112,28,50,64,0.001,0.788183500058949,cpu,2.473966291972569,0.0980855758701052,-2.375880716102464,0.9910714285714286,0.990909090909091,0.9908902691511386,0.991052942916297,1.0,1.0,1.0,1.0
FEI,mlp,5,47,112,28,50,64,0.001,0.7559274001978338,cpu,2.3849397046225413,0.07553806315575327,-2.309401641466788,1.0,1.0,1.0,1.0,0.9285714285714286,0.9333333333333332,0.9314285714285715,0.926530612244898
