metric,mean,std,n_folds
train_accuracy,0.36430769230769233,0.0006527139518645392,2
train_balanced_accuracy,0.36430769230769233,0.0006527139518645784,2
train_macro_f1,0.3315362367996364,0.00014738010608614694,2
train_weighted_f1,0.3315362367996364,0.0001473801060861862,2
validation_accuracy,0.3563076923076923,0.002393284490169846,2
validation_balanced_accuracy,0.3563076923076923,0.002393284490169846,2
validation_macro_f1,0.32322126352237956,0.004555475989530581,2
validation_weighted_f1,0.3232212635223795,0.0045554759895306204,2
