metric,mean,std,n_folds
train_accuracy,0.8198076923076922,0.0270320596425931,5
train_balanced_accuracy,0.8198076923076922,0.02703205964259309,5
train_macro_f1,0.8186307469266991,0.02841968653782049,5
train_weighted_f1,0.8186307469266991,0.028419686537820482,5
validation_accuracy,0.43200000000000005,0.006077653315424073,5
validation_balanced_accuracy,0.43200000000000005,0.006077653315424106,5
validation_macro_f1,0.4285191648524296,0.007432785736664782,5
validation_weighted_f1,0.4285191648524297,0.007432785736664784,5
