metric,mean,std,n_folds
train_accuracy,0.7626086956521739,0.015496068028491145,5
train_balanced_accuracy,0.6006036489703896,0.015714517711446375,5
train_macro_f1,0.6053536440356422,0.02180539883105524,5
train_weighted_f1,0.7193643959997789,0.011823708043778606,5
train_precision,0.7737154728254193,0.008710122866927336,5
train_recall,0.9538889799238334,0.03927039905194431,5
validation_accuracy,0.7339130434782609,0.03313742049165867,5
validation_balanced_accuracy,0.5657553648746736,0.030084787437827533,5
validation_macro_f1,0.5614050953583174,0.039036213393254734,5
validation_weighted_f1,0.6873415931676851,0.028971078439076276,5
validation_precision,0.7581535625840926,0.012935464665933448,5
validation_recall,0.9324258521469677,0.04616304891059595,5
