metric,mean,std,n_folds
train_accuracy,0.3623846153846154,0.003303972640186446,5
train_balanced_accuracy,0.3623846153846154,0.0033039726401864517,5
train_macro_f1,0.3319834300286685,0.007393687099461283,5
train_weighted_f1,0.3319834300286685,0.007393687099461288,5
validation_accuracy,0.3613076923076923,0.007386217774866331,5
validation_balanced_accuracy,0.3613076923076923,0.007386217774866331,5
validation_macro_f1,0.3305892507229401,0.008771292311039276,5
validation_weighted_f1,0.3305892507229401,0.008771292311039246,5
