metric,mean,std,n_folds
train_accuracy,0.9650129451336822,0.004088650937643178,5
train_balanced_accuracy,0.8502281508721803,0.017796270992510396,5
train_macro_f1,0.8957559680848138,0.013829478328947422,5
train_weighted_f1,0.9625961672222324,0.004663714461555921,5
train_precision,0.9565985319009341,0.022502716832116864,5
train_recall,0.7043143068939955,0.035697592206742096,5
validation_accuracy,0.9490506243884047,0.008579921620494459,5
validation_balanced_accuracy,0.8031783335072396,0.040976961824592525,5
validation_macro_f1,0.8454142759792385,0.03229911817181193,5
validation_weighted_f1,0.9449880489547458,0.01043070862816491,5
validation_precision,0.8650595307049723,0.020310315001725653,5
validation_recall,0.6177621283255087,0.08214192372109859,5
