metric,mean,std,n_folds
train_accuracy,0.9642857142857142,0.014117310982894536,5
train_balanced_accuracy,0.9642424242424245,0.014387957289617576,5
train_macro_f1,0.9642281863064472,0.01457539842295685,5
train_weighted_f1,0.9641979619759121,0.01431591447862929,5
validation_accuracy,0.8928571428571429,0.025253813613805295,5
validation_balanced_accuracy,0.8933333333333332,0.02527625148017185,5
validation_macro_f1,0.8859999999999999,0.024083777624600462,5
validation_weighted_f1,0.8883333333333334,0.026945144255925823,5
