metric,mean,std,n_folds
train_accuracy,0.951827937071916,0.005043759335534765,5
train_balanced_accuracy,0.7896775241723352,0.03127207319709554,5
train_macro_f1,0.8464938310421533,0.02221867746397741,5
train_weighted_f1,0.9465189691679606,0.006810945662961618,5
validation_accuracy,0.9409627521568555,0.015429929965268393,5
validation_balanced_accuracy,0.7691848688992219,0.034398625632898396,5
validation_macro_f1,0.8171488292329808,0.04171152781158784,5
validation_weighted_f1,0.9354890301901733,0.01558388314327306,5
train_precision,0.9452351625360066,0.01912122562937175,5
train_recall,0.5835483073881887,0.06460152419330982,5
validation_precision,0.8547891638925073,0.13137353267257806,5
validation_recall,0.5507824726134586,0.06294431678172388,5
