dataset,method,fold,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,train_precision,train_recall,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,validation_precision,validation_recall
MVTEC,mlp,1,42,862,863,50,64,0.001,6.913291499949992,cpu,0.6460296875362883,0.5317764459242676,-0.11425324161202066,0.7563805104408353,0.5628663250475924,0.5470514052366082,0.688509298855847,0.7557997557997558,0.9841017488076311,0.746234067207416,0.5468115173997526,0.5206832274508312,0.6711774533019308,0.7481840193704601,0.9825119236883942
MVTEC,mlp,2,43,863,862,50,64,0.001,6.838887399993837,cpu,0.6421153959089746,0.5203299825603136,-0.121785413348661,0.7740440324449595,0.6061446061446062,0.6137000640447349,0.7276134948326642,0.7746835443037975,0.972972972972973,0.7424593967517401,0.5749435373267738,0.574065170940171,0.6970985905368157,0.7625806451612903,0.9395866454689984
