dataset,method,fold,seed,n_train,n_validation,n_features,feature_extraction_time,classifier_training_time,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,train_precision,train_recall,validation_precision,validation_recall,extractor_train_time,extractor_train_fitness,program
MVTEC,gp_original,1,42,1380,345,164,84.39427529997192,1.587032400071621,0.8057971014492754,0.6862248966096469,0.7096935235218578,0.786189066658039,0.6869565217391305,0.5245135688684076,0.5161038961038961,0.6486188594014681,0.8159246575342466,0.9473161033797217,0.7416107382550335,0.876984126984127,81.34846830368042,76.81,"FC4(Hist_R(Gau_R(RegionS(Image, 31, 22, 21), 3)), DIF_R(LoG2_R(Gau_R(SobelX_R(Lap_R(GauD_R(Lap_R(SobelY_R(Gau_R(LoG2_R(Min_R(Max_R(Lap_R(SobelX_R(Lap_R(SobelX_R(SobelY_R(Min_R(Sobel_R(Sobel_R(Gau_R(Lap_R(LoG2_R(RegionS(Med(Image), 13, 50, 29))), 2)))))))))))), 3))), 3, 2, 1))), 1))), Hist_R(SobelX_R(Gau_R(Max_R(RegionR(Image, 1, 15, 39, 29)), 3))), DIF(Image))"
MVTEC,gp_original,2,43,1380,345,73,47.801390500040725,1.0515193999744952,0.7971014492753623,0.6592636693209726,0.6812344082047491,0.7692487951718494,0.7681159420289855,0.6241679467485919,0.6376811594202898,0.7378701953371141,0.8009950248756219,0.9602385685884692,0.7866666666666666,0.9365079365079365,47.05262017250061,78.99,"FC2(HOG_R(SobelY_R(Gau_R(LoG1_R(Lap_R(LoG2_R(Min_R(Gau_R(RegionS(Image, 8, 53, 19), 1))))), 3))), Hist(Image))"
MVTEC,gp_original,3,44,1380,345,338,79.77565210009925,2.677479899954051,0.8855072463768116,0.8274045566175141,0.8461468985235634,0.8817854942875359,0.736231884057971,0.6634024577572964,0.663955044153064,0.7357801538085653,0.8955223880597015,0.9542743538767395,0.8181818181818182,0.8214285714285714,74.60752606391907,77.03,"FC4(Hist_R(RegionR(Image, 60, 10, 51, 3)), SIFT_R(Gau_R(Lap_R(Mean_R(Min_R(LoG1_R(Gau_R(Med_R(Max_R(GauD_R(Min_R(RegionS(Image, 2, 25, 53)), 3, 1, 2))), 1))))), 1)), DIF(Max(Image)), SIFT(Image))"
MVTEC,gp_original,4,45,1380,345,196,63.64511339995079,1.8262616000138223,0.8398550724637681,0.7476391798962224,0.7724707344604107,0.8293571130145101,0.8,0.6862125964228194,0.7075157576576687,0.782361252749143,0.849644128113879,0.9483614697120158,0.8159722222222222,0.9362549800796812,61.11493945121765,78.62,"FC4(Hist(Image), uLBP(Mean(Image)), HOG_R(Min_R(Med_R(Sobel_R(Gau_R(Med_R(Lap_R(RegionS(Mean(Image), 39, 29, 12))), 2))))), Hist_R(SobelX_R(SobelX_R(LoG2_R(SobelX_R(Max_R(LoG1_R(Med_R(Min_R(Med_R(Sobel_R(Gau_R(RegionS(Image, 11, 50, 57), 1)))))))))))))"
MVTEC,gp_original,5,46,1380,345,256,66.42947370000184,2.1669143000617623,0.8840579710144928,0.832784449869679,0.8465895352941339,0.8814208963596873,0.7768115942028986,0.726837331524964,0.7230533459826316,0.7785799576311969,0.9014218009478673,0.9443892750744787,0.8536585365853658,0.8366533864541833,63.620054960250854,79.06,"FC3(SIFT(Image), Hist(Image), Hist_R(RegionR(Max(Image), 4, 28, 8, 34)))"
