dataset,method,fold,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1
STL10,cnn,1,42,10400,2600,50,64,0.001,1233.1166537001263,cpu,1.9450177229367769,0.10447588532016827,-1.8405418376166085,0.9634615384615385,0.9634615384615384,0.963234319500075,0.9632343195000749,0.6203846153846154,0.6203846153846154,0.618145645651458,0.618145645651458
STL10,cnn,2,43,10400,2600,50,64,0.001,1057.0861863999162,cpu,1.8631036384289081,0.07706316099143945,-1.7860404774374687,0.9807692307692307,0.9807692307692306,0.9807927272702335,0.9807927272702336,0.6434615384615384,0.6434615384615385,0.6427734887374703,0.6427734887374704
STL10,cnn,3,44,10400,2600,50,64,0.001,1109.8199650999159,cpu,1.9324637435032772,0.08366966749613101,-1.8487940760071462,0.9780769230769231,0.9780769230769228,0.9780935528945008,0.978093552894501,0.6338461538461538,0.6338461538461538,0.6336110187090191,0.6336110187090191
STL10,cnn,4,45,10400,2600,50,64,0.001,807.6754771999549,cpu,1.945016289124122,0.0737923551752017,-1.8712239339489203,0.9767307692307692,0.9767307692307693,0.9766335467557903,0.9766335467557902,0.6276923076923077,0.6276923076923078,0.6281176999459361,0.6281176999459361
STL10,cnn,5,46,10400,2600,50,64,0.001,584.9479627001565,cpu,1.8481959937169001,0.08194709231074039,-1.7662489014061598,0.9915384615384616,0.9915384615384616,0.9915402186140977,0.9915402186140976,0.6280769230769231,0.6280769230769231,0.6291051702605368,0.6291051702605368
