metric,mean,std,n_folds
train_accuracy,0.8714285714285714,0.060609152673132584,2
train_balanced_accuracy,0.8714285714285714,0.060609152673132584,2
train_macro_f1,0.8517106485556143,0.07362258917785364,2
train_weighted_f1,0.8517106485556143,0.07362258917785364,2
validation_accuracy,0.7285714285714286,0.02020305089104422,2
validation_balanced_accuracy,0.7285714285714284,0.02020305089104422,2
validation_macro_f1,0.6738913305476772,0.04701042775307581,2
validation_weighted_f1,0.6738913305476772,0.04701042775307581,2
