metric,mean,std,n_folds
train_accuracy,0.9483068326450311,0.003775070045639709,5
train_balanced_accuracy,0.7682542926635418,0.017002174623047574,5
train_macro_f1,0.8306902082697748,0.015308461152657984,5
train_weighted_f1,0.9416933017114537,0.004876669826671439,5
validation_accuracy,0.9445631974431945,0.004065386970869997,5
validation_balanced_accuracy,0.7637143321295008,0.024469935147194137,5
validation_macro_f1,0.8206240698579371,0.01833876733264094,5
validation_weighted_f1,0.9379044401765126,0.005642424813557794,5
train_precision,0.9576046337712298,0.013501524308437814,5
train_recall,0.5393600197677292,0.033984216668233876,5
validation_precision,0.9109064970117601,0.025712687409659034,5
validation_recall,0.5338028169014084,0.05087997709348855,5
