dataset,method,fold,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1
FEI,mlp,1,44,112,28,50,64,0.001,0.7703939999919385,cpu,2.3978774547576904,0.12869909618582046,-2.26917835857187,0.9910714285714286,0.990909090909091,0.9908902691511386,0.991052942916297,0.9285714285714286,0.9333333333333332,0.9257142857142858,0.9275510204081634
FEI,mlp,2,45,112,28,50,64,0.001,0.7858991001266986,cpu,2.3404319967542375,0.07525622738259179,-2.2651757693716457,0.9910714285714286,0.9916666666666666,0.9913043478260869,0.9910714285714286,0.9642857142857143,0.9666666666666666,0.9657142857142859,0.9632653061224489
FEI,mlp,3,46,112,28,50,64,0.001,0.8211402001325041,cpu,2.483844654900687,0.11897127223866326,-2.3648733826620236,0.9910714285714286,0.990909090909091,0.9908902691511388,0.991052942916297,1.0,1.0,1.0,1.0
FEI,mlp,4,47,112,28,50,64,0.001,0.7892633001320064,cpu,2.3729311398097446,0.07856081532580513,-2.2943703244839395,0.9910714285714286,0.9916666666666666,0.9913043478260869,0.9910714285714286,0.9285714285714286,0.9333333333333332,0.9314285714285715,0.926530612244898
FEI,mlp,5,48,112,28,50,64,0.001,0.7857870999723673,cpu,2.4742206845964705,0.11678559652396611,-2.3574350880725046,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
