dataset,method,fold,seed,n_train,n_validation,n_features,feature_extraction_time,classifier_training_time,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,train_precision,train_recall,validation_precision,validation_recall,extractor_train_time,extractor_train_fitness,program
KSDD2,gp_original,1,43,2669,668,73,99.94400470005348,2.29328679991886,0.9497939303109779,0.7757248616507713,0.8374040734679032,0.9437160651369495,0.9416167664670658,0.7501710430084696,0.8084059569773856,0.934202879403906,0.9575757575757575,0.5543859649122806,0.9,0.5070422535211268,98.17824697494507,94.19,"FC2(HOG_R(SobelY_R(SobelX_R(Sobel_R(LoG2_R(SobelY_R(Lap_R(LoG2_R(Min_R(Gau_R(RegionS(Image, 8, 53, 19), 1)))))))))), Hist(Image))"
KSDD2,gp_original,2,44,2669,668,146,166.8763824000489,2.546810300089419,0.9441738478831023,0.7454306552100864,0.8111641193735306,0.9359201191943387,0.9356287425149701,0.7258109619686801,0.7852298811900436,0.9262119980670767,0.9655172413793104,0.49295774647887325,0.8918918918918919,0.4583333333333333,161.30406594276428,92.99,"FC2(DIF(Image), SIFT(Image))"
KSDD2,gp_original,3,45,2670,667,223,114.99413729994558,3.4658337999135256,0.9501872659176029,0.774390378461878,0.8376395809929813,0.9439599311242028,0.9370314842578711,0.753851970885717,0.8017241379310345,0.9306467455927208,0.9691358024691358,0.5508771929824562,0.8222222222222222,0.5211267605633803,111.42516040802002,94.57,"FC4(Hist(Image), uLBP(Image), Hist(Image), HOG_R(Lap_R(Mean_R(RegionR(LoG2(Image), 44, 12, 11, 39)))))"
KSDD2,gp_original,4,46,2670,667,256,127.81706100003794,2.894093400100246,0.9602996254681648,0.8233035418735518,0.8777590806059266,0.9567632484321347,0.9460269865067467,0.7650888552793269,0.8245557633855507,0.9394609744461415,0.9685863874345549,0.6491228070175439,0.926829268292683,0.5352112676056338,122.45505046844482,94.49,"FC3(SIFT(Image), Hist(Image), Hist(Image))"
KSDD2,gp_original,5,47,2670,667,274,227.2824545998592,2.511022200109437,0.9617977528089887,0.8287763433741586,0.8828159288410335,0.9584828222409908,0.9505247376311844,0.8172322525758579,0.8543523573200993,0.9475082607579584,0.9740932642487047,0.6596491228070176,0.8518518518518519,0.647887323943662,212.58507013320923,94.64,"FC4(SIFT(Image), Hist_R(LoG2_R(LoG2_R(GauD_R(LoG1_R(Max_R(Med_R(LoG2_R(Lap_R(LoG1_R(SobelY_R(LoG2_R(LoG1_R(SobelY_R(LoG2_R(Mean_R(Max_R(Max_R(SobelX_R(Med_R(LoG2_R(LoG1_R(GauD_R(Min_R(SobelX_R(Min_R(RegionR(Gau(Image, 3), 2, 16, 57, 35)))), 2, 0, 1))))))))))))))))))), 2, 1, 1)))), Hist(Image), DIF(Image))"
