metric,mean,std,n_folds
train_accuracy,0.9964285714285716,0.00489037997772468,5
train_balanced_accuracy,0.9963636363636365,0.0049792959773196635,5
train_macro_f1,0.9963561076604555,0.004989605078722047,5
train_weighted_f1,0.9964211771665188,0.004900504988030534,5
validation_accuracy,0.9785714285714286,0.03194382824999698,5
validation_balanced_accuracy,0.9766666666666668,0.0365148371670111,5
validation_macro_f1,0.9767619047619048,0.03599949609120748,5
validation_weighted_f1,0.9774829931972789,0.03379213612759486,5
