metric,mean,std,n_folds
train_accuracy,0.9601438067533605,0.006721154969708144,5
train_balanced_accuracy,0.8364122339441618,0.020833514459820488,5
train_macro_f1,0.8811855050873078,0.0183866095325194,5
train_weighted_f1,0.9573695877254966,0.006817327212655344,5
train_precision,0.9334914616537539,0.06769330161161112,5
train_recall,0.6791153941191006,0.04340773175027987,5
validation_accuracy,0.9520531650342494,0.0035055008205829227,5
validation_balanced_accuracy,0.8124192358479757,0.018532138125027155,5
validation_macro_f1,0.8559576967326337,0.01000007182402171,5
validation_weighted_f1,0.9485022809739212,0.003379618973573526,5
validation_precision,0.8889063199631634,0.06118104788790502,5
validation_recall,0.6348982785602504,0.04258405465557288,5
