metric,mean,std,n_folds
train_accuracy,0.7704615384615384,0.045838485903668645,5
train_balanced_accuracy,0.7704615384615384,0.04583848590366869,5
train_macro_f1,0.768107330034392,0.04679406193542133,5
train_weighted_f1,0.768107330034392,0.04679406193542134,5
validation_accuracy,0.5536923076923077,0.048210276593593296,5
validation_balanced_accuracy,0.5536923076923077,0.04821027659359332,5
validation_macro_f1,0.5490725823916222,0.048040460482546996,5
validation_weighted_f1,0.5490725823916223,0.04804046048254694,5
