dataset,method,fold,seed,n_train,n_validation,n_features,feature_extraction_time,classifier_training_time,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1,extractor_train_time,extractor_train_fitness,program
FEI,gp_original,1,42,70,70,812,0.9334424999542534,0.027379699982702732,1.0,1.0,1.0,1.0,0.9571428571428572,0.9571428571428571,0.956474358974359,0.956474358974359,0.7376992702484131,98.57,"FC4(Hist(Image), HOG_R(GauD_R(RegionR(Image, 38, 31, 28, 56), 1, 0, 0)), HOG(Image), Hist(Image))"
FEI,gp_original,2,43,70,70,878,1.2115545000415295,0.02189230010844767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9310257434844971,98.57,"FC4(HOG(Image), uLBP(Image), HOG_R(Min_R(RegionS(Image, 3, 23, 43))), DIF(Image))"
