dataset,method,fold,seed,n_train,n_validation,epochs,batch_size,learning_rate,model_training_time,device,initial_training_loss,final_training_loss,training_loss_change,train_accuracy,train_balanced_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_weighted_f1
FEI,cnn,1,44,112,28,50,64,0.001,5.217719200067222,cpu,2.31150484085083,0.03956371492573193,-2.2719411259250983,0.9910714285714286,0.990909090909091,0.9908902691511386,0.991052942916297,0.9285714285714286,0.9333333333333332,0.9257142857142858,0.9275510204081634
FEI,cnn,2,45,112,28,50,64,0.001,5.116110000060871,cpu,2.3076578889574324,0.034365874848195484,-2.273292014109237,1.0,1.0,1.0,1.0,0.8214285714285714,0.8333333333333333,0.8257142857142856,0.813265306122449
FEI,cnn,3,46,112,28,50,64,0.001,4.957141300197691,cpu,2.307831423623221,0.06790236436894961,-2.2399290592542713,0.9910714285714286,0.9916666666666666,0.9913043478260869,0.9910714285714286,0.8571428571428571,0.85,0.8383333333333333,0.8505952380952381
FEI,cnn,4,47,112,28,50,64,0.001,5.257216199999675,cpu,2.3082903112683977,0.02484079131058284,-2.2834495199578146,1.0,1.0,1.0,1.0,0.8571428571428571,0.8666666666666666,0.8616666666666667,0.8589285714285715
FEI,cnn,5,48,112,28,50,64,0.001,5.181167999980971,cpu,2.3077241352626254,0.07332440784999303,-2.2343997274126326,0.9821428571428571,0.9818181818181818,0.9821428571428571,0.9824617346938777,0.9285714285714286,0.9333333333333332,0.9314285714285713,0.926530612244898
